"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.32217466516381e-15,0.169774974940802,7.78780656940066e-15,0.999999999999994
"GDP.pc",-0.572386398849687,0.211356502688469,-2.70815608495075,0.015510647958362
"GDP",0.700788828421653,0.315155314323369,2.22363005341106,0.0409241092667369
"Pop",-0.527205954228209,0.331109645555409,-1.59223979520097,0.130892228814587
"Pop.density",-0.444901128468271,0.201426727971805,-2.20874922086083,0.0421251106358697
