"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.0438729786428941,0.16448446354193,-0.266730229093705,0.791955314979143
"Commuting",0.447694232558555,0.170185449864908,2.63062578448352,0.0146517125589346
